exp,file_num,t_entry
494,31,246.3468
503,4,202.1554
516,7,295.5261
566,2,252.8859
566,3,241.2850
566,3,20.9761
526,14,171.5436
505,16,260.7711
522,11,40.8274
497,113,173.4751
496,5,160.7443
515,0,229.3214
516,5,61.8516
496,11,125.7502
510,5,101.3452
526,70,189.3864
499,4,289.7237
516,4,344.0478
505,129,248.1815
513,174,200.2260
549,18,48.3601
545,169,349.6045
509,1,60.1847
557,66,260.7338
520,3,5.8207
557,66,294.8408
494,1,284.6905
510,3,82.8943
497,156,185.0002
525,13,136.6728
519,150,136.2174
535,1,280.3122
508,84,356.7786
509,5,85.0201
552,90,318.1144
548,153,309.6261
544,9,159.5703
514,7,140.8319
508,84,127.4803
557,65,68.9130
535,1,23.1248
494,21,153.1673
501,166,97.1546
555,163,108.6451
559,10,124.7474
549,5,100.5849
499,0,334.4812
508,19,156.6398
545,172,145.2917
559,10,14.4816
565,94,63.4233
494,47,210.7983
557,66,52.5341
519,14,89.7825
545,35,161.5019
504,136,58.4173
544,7,269.5796
499,3,128.8711
552,2,240.8727
509,2,114.1574
555,41,280.5668
505,26,70.3862
541,6,3.0582
509,6,94.6845
557,66,194.5554
563,10,228.6029
535,14,13.3658
566,0,117.8716
519,84,212.2921
519,19,177.0271
548,4,243.8190
535,27,109.8968
521,0,248.8200
565,93,327.8858
493,116,37.7078
534,6,172.8923
535,13,33.5193
497,50,62.4939
550,7,10.2057
497,53,218.9385
532,2,44.2196
565,96,61.9156
535,27,136.1816
518,23,282.4554
559,10,193.3043
517,174,313.5897
516,9,193.7544
549,17,273.6720
493,124,249.8906
559,9,137.9286
509,5,326.1168
505,17,256.1120
508,57,157.0678
517,90,242.0795
565,31,2.3360
563,2,124.7024
496,8,78.5105
527,3,176.6470
516,4,186.0328
514,14,269.6657
560,5,132.5231
510,14,212.9894
561,5,234.0690
510,1,204.7286
512,90,264.4086
522,8,274.6590
565,30,2.2094
527,8,34.1551
496,5,242.7773
521,10,117.5831
559,8,130.6704
514,14,182.0769
555,97,34.3375
520,3,282.0458
506,17,22.5002
499,13,212.8528
526,90,93.2213
552,79,34.1623
559,11,318.3236
498,0,164.5929
497,117,220.1912
541,5,107.4051
557,68,331.3301
498,4,26.3139
549,16,41.6506
516,9,125.8389
504,38,289.4293
563,2,169.4631
511,10,53.7497
512,55,159.4075
501,167,210.3335
515,0,332.4663
510,13,331.9813
556,8,284.8230
506,46,235.2301
518,20,120.8892
515,12,302.1136
532,2,214.3586
530,3,70.2505
555,15,29.5826
527,2,243.0529
567,2,154.9184
520,5,168.6941
499,16,171.1828
549,14,174.0921
