exp,file_num,t_entry
504,53,85.1810
504,164,264.0936
519,197,34.3236
504,68,110.9477
497,202,56.6127
510,3,357.6569
516,4,320.5496
517,63,66.1481
545,81,353.4250
515,19,204.8270
548,128,74.4885
526,11,329.4826
517,176,222.3919
545,175,199.9490
508,83,324.1159
513,62,312.4417
549,15,321.7816
493,14,55.1100
519,142,59.6915
512,86,94.7659
493,15,198.0223
511,0,197.8947
496,7,70.3059
493,21,114.6160
493,97,13.6379
512,14,195.8241
555,26,49.6450
497,141,109.3422
499,15,83.4862
493,44,22.7822
534,3,169.9414
549,6,89.1784
512,35,266.5997
513,146,92.4007
534,13,68.8094
545,170,281.8580
501,21,250.9381
526,7,154.5067
504,54,30.6182
548,156,217.6565
557,71,20.5486
493,76,44.9619
517,1,238.1477
519,192,260.9923
555,54,351.1431
504,113,346.1552
545,73,218.0241
497,143,108.4265
513,104,88.5285
504,145,141.5739
512,0,179.0339
517,114,171.3150
526,8,187.7448
505,128,116.5515
548,116,340.4578
517,12,63.4994
519,4,55.0040
517,13,288.9273
516,5,204.2364
514,9,154.7910
517,173,52.9387
505,133,249.0093
505,195,155.0685
493,28,56.3483
504,134,285.6995
545,74,222.1741
513,142,74.1754
504,67,345.4469
513,52,192.0962
497,6,96.6316
519,191,113.9122
513,183,82.9771
501,166,252.8058
508,38,236.2109
504,124,27.5214
565,101,188.8404
517,125,188.6538
513,107,15.1585
493,12,134.6919
501,34,20.4776
555,41,241.2273
518,5,334.0790
501,120,202.3753
505,10,115.9967
545,169,79.5886
519,37,341.7891
518,1,95.9259
555,190,219.6024
512,92,110.5039
497,164,329.8587
518,7,339.8667
526,88,156.6709
505,192,271.8925
504,169,168.6720
501,102,339.1401
497,128,199.4821
517,139,185.7677
519,121,166.8928
519,36,145.9283
494,1,187.1238
513,11,219.5800
512,94,268.2179
565,31,16.8996
508,41,227.8526
519,101,39.7834
508,80,328.3219
497,143,226.4707
501,208,298.6412
504,121,69.4481
517,167,274.3884
505,146,84.5128
493,38,210.5936
505,4,94.4925
552,4,32.3125
517,18,347.8203
519,90,92.3827
504,68,203.8390
525,3,250.0277
545,179,34.5881
493,13,298.5980
548,17,36.4574
493,50,333.2811
506,16,288.5646
514,16,133.0852
517,177,102.8194
513,148,39.4535
526,11,297.8312
501,74,32.5011
508,56,97.9701
510,5,147.3732
499,16,197.6873
517,31,201.3814
518,22,311.0094
555,11,148.5553
506,45,253.3337
535,7,311.0402
513,102,133.0507
521,53,266.8874
493,90,278.2422
514,12,79.3630
519,56,209.9784
506,46,297.5361
492,20,87.3529
550,16,227.1484
545,178,325.4337
517,126,143.9786
501,23,50.6841
504,150,70.5949
517,131,42.2881
501,174,245.7371
514,13,116.0266
504,171,89.9777
549,3,140.1574
506,35,261.7785
518,20,358.0572
525,16,316.6846
505,126,318.5804
512,104,223.8903
517,163,339.1374
545,169,138.0524
518,9,100.2038
506,39,306.6789
519,17,194.0740
501,160,126.1824
513,42,71.4750
501,61,51.5134
497,116,18.2392
517,193,24.6787
541,12,86.2682
548,0,234.1154
517,15,287.2753
497,98,321.8531
506,46,70.2621
545,73,146.4508
505,129,30.4090
494,1,126.2362
518,22,96.7409
535,13,149.7996
506,24,210.3569
517,178,91.9241
501,221,124.3057
521,53,17.2572
517,96,208.7650
513,51,69.5139
493,40,74.1986
545,170,166.4141
505,37,273.1268
511,7,138.9898
494,19,356.3810
494,34,140.9423
504,135,15.5494
505,138,258.1031
501,168,275.6440
515,10,251.3314
548,2,142.2775
518,1,136.6559
493,39,6.8181
519,92,76.8715
497,192,201.8652
512,112,111.8752
548,20,152.5906
526,95,3.2853
548,3,185.4327
517,123,240.9832
519,84,27.5135
497,140,71.4267
545,169,31.9563
555,173,119.6636
565,94,17.8648
497,93,87.3945
505,11,56.7750
519,3,323.3141
519,27,209.1063
504,97,187.5334
545,84,99.3309
497,23,174.7730
501,102,272.2867
504,95,189.4015
565,31,143.0059
517,125,257.4136
545,75,67.8877
545,177,295.6193
526,9,253.4045
513,179,30.3435
545,163,117.1774
513,96,174.6692
497,175,159.1487
526,42,96.2918
517,95,343.4102
565,97,48.2108
565,36,221.1140
508,49,206.1188
519,17,346.1932
520,3,125.4421
493,119,163.8331
548,127,318.2323
519,118,66.5543
534,3,339.7807
519,151,287.0471
505,94,295.9414
513,91,279.0129
517,190,209.9191
501,169,183.5756
518,7,123.3711
565,122,226.3559
512,92,260.9433
508,54,174.6246
513,127,273.7362
555,94,47.3441
521,12,163.3287
497,116,320.3898
504,82,316.3829
517,179,305.5312
517,123,106.2246
508,40,231.3490
494,21,29.9901
504,116,93.4360
521,6,137.4369
519,23,291.5370
517,164,352.1188
505,73,341.1273
504,165,165.6898
555,23,15.5465
497,108,283.1734
525,12,42.5038
565,96,196.0902
517,196,41.3851
513,178,312.6778
519,43,83.7563
505,133,107.5586
565,158,254.6855
504,65,315.1424
545,171,181.4609
513,125,266.6857
517,194,170.7246
504,135,329.6750
510,15,105.5671
555,43,12.6944
513,103,327.5306
493,45,121.5233
541,6,28.5779
513,73,55.3743
494,43,119.5941
493,110,78.2703
513,188,314.8544
493,123,99.6343
505,88,312.5660
548,163,95.5701
501,89,98.9062
518,3,335.9342
513,62,247.1966
497,124,310.9124
527,10,135.1229
519,115,208.7132
505,132,93.0753
508,55,276.6567
506,28,100.1256
504,99,7.1985
565,99,241.0278
513,142,109.7057
548,2,342.2333
517,125,46.4786
521,53,202.8939
497,213,63.6150
497,35,129.7154
497,206,148.1351
565,126,16.4724
513,185,74.6796
494,1,147.1843
497,114,143.4649
513,104,166.4660
518,8,106.2327
545,174,66.2075
518,8,252.0946
501,36,138.7494
521,50,248.5848
504,68,147.5888
518,24,273.9581
550,1,58.0053
516,1,159.0899
505,193,310.3129
493,108,6.2267
548,160,158.8036
505,179,126.4934
508,38,171.5145
517,122,199.0824
530,9,150.3325
512,57,349.3863
497,190,253.6650
497,191,12.1601
545,170,46.3878
527,0,126.3328
494,33,145.0423
493,86,211.0865
519,42,203.7549
506,43,38.6071
565,22,191.6919
508,8,138.4566
508,60,287.0473
521,13,246.0321
512,57,211.0420
545,72,304.4462
517,44,298.5428
549,15,274.7889
506,66,49.7166
519,193,51.9308
505,160,289.3138
565,100,33.5776
501,166,312.8658
519,205,93.1979
545,164,118.1149
505,88,64.4123
514,12,160.5269
541,18,182.7159
505,160,312.9173
493,114,106.7989
504,117,219.6355
493,92,79.9240
517,127,106.8344
548,155,338.2229
517,138,299.9464
504,196,223.1303
541,3,19.0365
521,45,250.2548
497,2,354.6273
517,2,36.9911
493,26,96.5264
513,177,215.2532
512,34,226.4752
504,141,346.1228
518,9,27.1306
545,29,7.3244
517,90,64.8885
534,3,91.1408
526,16,299.9498
512,45,216.8327
512,91,210.3623
493,98,96.3965
494,35,35.8101
501,189,25.6721
521,1,122.2116
565,30,156.3799
508,73,311.7267
493,16,25.0459
555,189,80.1797
545,75,53.5375
501,164,160.5852
559,10,93.5297
504,82,346.7029
519,79,286.4541
517,28,302.0564
517,94,319.8328
504,123,262.2967
504,206,262.2584
555,40,159.2680
497,24,41.4056
