exp,file_num,t_entry,motion_pre,arrival_calls,mean,std,p05,p25,dark_abs,skew
492,2,169.0795,0.0,0,138.9947509765625,71.36556243896484,16.0,82.0,0.1671510416666666,-0.329656183719635
492,7,165.297,0.0,0,136.89697265625,70.23509216308594,15.0,80.0,0.174728125,-0.3206693530082702
492,12,286.9691,1.3422818791946309e-06,1,136.85093688964844,70.39336395263672,15.0,78.0,0.1703005208333333,-0.3161830902099609
493,11,112.5157,0.0026829977628635,1,129.2576141357422,68.54507446289062,15.0,71.0,0.2019369791666666,-0.2171927839517593
493,15,198.0223,0.0016648769574944,0,126.7124252319336,66.9375228881836,14.0,71.0,0.2008401041666666,-0.202670931816101
493,21,21.3919,0.003262639821029,7,123.8669891357422,67.06292724609375,14.0,67.0,0.2187911458333333,-0.1593777388334274
493,32,23.3746,0.0036559284116331,5,124.48762512207033,65.47988891601562,14.0,71.0,0.2006067708333333,-0.1962932497262954
493,40,74.1986,0.0034702460850111,9,115.3818817138672,64.39019012451172,12.0,63.0,0.2387927083333333,0.0106855919584631
493,50,333.2811,0.0013767337807606,10,116.3133316040039,63.19240951538086,12.0,64.0,0.2242869791666666,-0.0186839196830987
493,86,211.0865,0.001300447427293,8,124.27676391601562,65.98847198486328,14.0,68.0,0.2106713541666666,-0.2115836292505264
493,108,6.2267,8.859060402684565e-05,10,111.72675323486328,59.78791427612305,12.0,63.0,0.22990625,-0.0383152700960636
493,115,181.6194,0.0025208053691275,4,120.9303970336914,61.98137664794922,13.0,73.0,0.1911947916666666,-0.2244340777397155
493,119,163.8331,0.0011118568232662,11,117.49347686767578,60.85651779174805,12.0,71.0,0.1981296875,-0.1553816348314285
494,1,147.1843,0.0006156599552572,0,117.73833465576172,62.39422225952149,12.0,72.0,0.1947390625,-0.078070268034935
494,21,6.6162,1.3422818791946309e-06,0,117.65592956542967,64.27909088134766,12.0,64.0,0.226178125,-0.0570273175835609
494,33,14.6403,4.47427293064877e-07,0,119.84407043457033,64.30265808105469,12.0,70.0,0.2091583333333333,-0.1132656037807464
494,45,38.685,3.3557046979865773e-06,0,111.43340301513672,60.70211410522461,11.0,65.0,0.229121875,0.0006752366316504
