exp,file_num,t_entry,motion_pre,scorer
492,2,169.0795,0.0,gily
496,0,317.0929,0.0,gily
498,2,35.2916,0.0,gily
498,0,65.1611,0.0,gily
504,125,237.308,0.0,gily
504,184,283.4851,0.0,gily
544,13,181.7618,0.0,gily
526,3,18.4366,0.0,gily
526,9,197.5686,0.0,gily
517,120,299.1443,0.0,gily
515,14,333.7268,0.0,gily
526,24,219.7903,0.0,gily
511,13,210.9883,1.3422818791946309e-06,gily
530,3,7.4853,2.6845637583892617e-06,gily
530,7,99.3818,2.908277404921701e-06,gily
530,11,163.2122,3.131991051454139e-06,gily
548,121,227.3036,3.131991051454139e-06,gily
530,7,131.3372,3.3557046979865773e-06,gily
548,115,299.8951,8.053691275167787e-06,gily
544,13,100.7051,1.5883668903803133e-05,gily
534,4,352.2731,0.0001617449664429,gily
548,115,271.3011,0.0002263982102908,gily
560,3,200.0255,0.0002431767337807,gily
544,13,45.766,0.0003776286353467,gily
567,24,85.0753,0.0004684563758389,gily
541,4,174.9948,0.0005024608501118,gily
550,49,29.5014,0.0005335570469798,gily
546,1,139.4852,0.0005519015659955,gily
544,18,81.6968,0.0008395973154362,gily
515,0,118.9283,0.0009601789709172,gily
515,12,267.7066,0.0010709172259507,gily
550,37,245.7224,0.0011293064876957,gily
545,109,72.6343,2.237136465324385e-06,gily
530,2,262.916,2.460850111856824e-06,gily
545,127,15.8276,3.3557046979865773e-06,gily
548,116,65.7277,3.8031319910514553e-06,gily
565,116,63.7517,4.250559284116331e-06,gily
544,13,134.1863,4.697986577181209e-06,gily
541,19,314.738,5.1454138702460855e-06,gily
548,115,164.8718,6.935123042505593e-06,gily
548,115,284.2469,1.498881431767338e-05,gily
545,153,33.7173,2.460850111856824e-05,gily
545,180,93.7924,2.5055928411633108e-05,gily
545,145,86.3823,2.550335570469799e-05,gily
548,116,97.0503,2.6398210290827744e-05,gily
555,140,178.0634,2.997762863534676e-05,gily
541,19,350.57,3.1096196868008944e-05,gily
548,116,37.3689,3.355704697986577e-05,gily
529,3,333.79,4.675615212527965e-05,gily
541,19,245.9668,4.697986577181208e-05,gily
555,130,286.6108,4.720357941834452e-05,gily
565,113,295.3863,0.0019308724832214,undergrad
513,181,97.2715,0.0,undergrad
526,29,191.9102,0.0,undergrad
513,180,335.6089,0.0,undergrad
545,123,64.6391,0.0022545861297539,undergrad
521,49,325.352,0.0,undergrad
492,6,266.4432,0.0,undergrad
492,14,343.9219,0.0,undergrad
526,20,245.7957,2.237136465324385e-07,undergrad
519,130,52.3531,0.0,undergrad
517,116,189.4235,0.0,undergrad
492,12,131.8405,0.0,undergrad
504,124,184.1127,0.0,undergrad
501,215,212.4305,0.0,undergrad
519,120,210.7736,0.0,undergrad
544,13,204.8674,4.47427293064877e-07,undergrad
510,15,317.1448,0.0,undergrad
511,10,11.0016,6.711409395973154e-07,undergrad
501,124,73.5634,0.0,undergrad
550,46,275.7165,0.0028375838926174,undergrad
545,180,177.4949,0.0013434004474272,undergrad
544,13,116.9668,0.0,undergrad
511,9,26.2998,2.237136465324385e-07,undergrad
518,2,162.4427,2.237136465324385e-07,undergrad
515,14,256.5403,0.0,undergrad
504,182,126.8368,0.0,undergrad
504,203,42.4208,0.0,undergrad
504,127,359.0091,0.0,undergrad
497,131,200.3553,0.0003131991051454,undergrad
501,124,172.0387,0.0,undergrad
545,127,66.0547,0.0003778523489932,undergrad
492,10,308.0485,0.0,undergrad
505,36,339.4175,2.237136465324385e-07,undergrad
513,172,201.2628,0.0,undergrad
525,4,173.4651,0.0,undergrad
505,7,265.4016,0.0,undergrad
504,82,133.5088,0.0,undergrad
526,24,146.5833,0.0,undergrad
545,110,296.1186,1.1185682326621925e-06,undergrad
526,19,304.4049,0.0,undergrad
518,16,154.8586,0.0,undergrad
513,93,248.2659,0.0,undergrad
526,20,108.9569,0.0,undergrad
519,125,317.4265,0.0,undergrad
517,192,129.1234,0.0,undergrad
519,121,337.7534,0.0,undergrad
519,113,23.1492,0.0004127516778523,undergrad
526,9,106.898,0.0,undergrad
545,123,139.1521,0.0005384787472035,undergrad
519,131,114.7761,0.0,undergrad
513,136,306.2793,0.0,undergrad
497,169,329.834,0.0,undergrad
513,40,350.1481,1.3422818791946309e-06,undergrad
504,176,196.9702,0.0,undergrad
548,121,230.6045,0.003600447427293,undergrad
492,13,114.6253,0.0,undergrad
492,5,222.14,0.0,undergrad
512,113,196.1784,0.0,undergrad
517,16,282.3788,0.0,undergrad
506,19,187.6232,0.0,undergrad
515,12,240.7643,0.0,undergrad
505,85,65.0803,0.0,undergrad
497,213,196.1471,0.0,undergrad
497,135,312.8142,0.0,undergrad
497,136,15.5938,0.0,undergrad
526,31,225.6234,0.0,undergrad
517,122,260.6321,0.0,undergrad
513,179,124.2099,1.5659955257270692e-06,undergrad
497,140,343.0705,0.0013472035794183,undergrad
513,54,93.5886,0.0,undergrad
497,170,20.9067,0.0,undergrad
492,10,275.5436,0.0,undergrad
545,108,172.694,0.0002017897091722,undergrad
498,2,172.9065,0.0,undergrad
517,94,188.8198,0.0,undergrad
492,11,217.8941,1.3422818791946309e-06,undergrad
526,32,277.8972,0.0,undergrad
519,130,236.806,0.0,undergrad
517,118,309.0508,0.0,undergrad
519,123,193.2795,0.0,undergrad
548,115,49.633,0.0,undergrad
504,182,314.1289,0.0,undergrad
526,40,205.7694,0.0,undergrad
516,6,297.0349,2.237136465324385e-07,undergrad
492,12,286.9691,1.3422818791946309e-06,undergrad
548,115,247.853,0.0002042505592841,undergrad
513,138,111.7755,6.711409395973154e-07,undergrad
497,23,301.7989,0.0,undergrad
519,79,182.8351,0.0,undergrad
517,121,302.6922,0.0,undergrad
545,178,166.5724,0.0027082774049217,undergrad
513,138,243.4579,0.0,undergrad
517,94,220.8154,0.0,undergrad
506,57,337.8277,0.0,undergrad
545,108,216.7789,0.0002953020134228,undergrad
497,213,340.354,0.0,undergrad
518,1,276.8047,0.0,undergrad
504,137,232.7781,0.0035331096196868,undergrad
548,158,33.8605,0.0002953020134228,undergrad
513,171,246.1408,0.0,undergrad
501,110,301.5386,0.0,undergrad
517,117,279.4449,0.0,undergrad
497,169,168.2101,2.237136465324385e-07,undergrad
555,137,52.1126,0.0007409395973154,undergrad
526,33,83.5539,0.0,undergrad
497,138,128.6562,0.0,undergrad
501,188,250.8603,0.0,undergrad
515,13,247.6743,0.0,undergrad
548,157,218.9269,0.0008787472035794,undergrad
512,112,313.267,0.0,undergrad
525,6,200.8155,0.0,undergrad
545,143,293.4516,0.0005950782997762,undergrad
492,3,147.0253,0.0,undergrad
513,171,31.5442,0.0,undergrad
506,58,264.4298,0.0,undergrad
534,4,153.8186,0.0005398210290827,undergrad
526,9,17.3235,0.0,undergrad
548,115,349.2175,4.47427293064877e-07,undergrad
548,116,148.6829,1.1185682326621925e-06,undergrad
544,13,75.4211,0.0004465324384787,undergrad
550,48,322.3528,2.237136465324385e-07,undergrad
526,37,315.7398,0.0,undergrad
504,122,175.2991,2.237136465324385e-07,undergrad
513,54,189.0831,2.237136465324385e-07,undergrad
526,40,173.9438,0.0,undergrad
513,55,144.2929,0.0,undergrad
501,216,69.0077,0.0,undergrad
504,124,217.3388,0.0,undergrad
517,108,77.1046,0.0,undergrad
526,24,176.8184,0.0,undergrad
545,153,251.4857,0.0,undergrad
526,20,28.8683,2.237136465324385e-07,undergrad
492,5,325.3982,0.0,undergrad
513,51,28.0634,0.0,undergrad
526,24,53.6186,0.0,undergrad
517,94,100.1869,0.0,undergrad
