uid,batch_num,candidate_num,date_folder,exp,channel,file_num,start_time_file_sec,stop_time_file_sec,next_call_type,next_call_gap_s
2025_03_235_30_024_129418,0,2,2025_03,235,30,24,129.417856,129.469304,stacks,0.046472
2025_03_235_20_114_171802,0,1,2025_03,235,20,114,171.801856,171.822456,stacks,0.024968
2025_03_235_30_024_130995,0,3,2025_03,235,30,24,130.995328,131.034616,stacks,0.031111999
2025_03_235_30_024_131414,0,4,2025_03,235,30,24,131.4144,131.462784,stacks,0.00064
2025_03_235_30_024_215800,0,5,2025_03,235,30,24,215.799936,215.827968,stacks,0.003712
2025_03_235_30_030_215777,0,6,2025_03,235,30,30,215.777408,215.812608,stacks,0.003328
2025_03_235_30_030_233085,0,7,2025_03,235,30,30,233.08544,233.116544,stacks,0.023808
2025_03_235_30_030_243043,0,8,2025_03,235,30,30,243.04256,243.067896,stacks,0.015368
2025_03_235_30_030_249007,0,9,2025_03,235,30,30,249.006848,249.054208,stacks,0.012288
2025_03_235_30_030_266144,0,10,2025_03,235,30,30,266.143744,266.175864,stacks,0.049032
2025_03_235_30_030_272740,0,11,2025_03,235,30,30,272.740096,272.797816,stacks,0.02932
2025_03_235_30_030_297903,0,12,2025_03,235,30,30,297.903232,297.945088,stacks,0.015872
2025_03_235_30_030_86692,0,13,2025_03,235,30,30,86.692096,86.715776,stacks,0.008832
2025_03_235_30_030_87178,0,14,2025_03,235,30,30,87.178496,87.220216,stacks,0.011272
2025_03_235_30_030_87438,0,15,2025_03,235,30,30,87.437824,87.474176,stacks,0.000128
2025_03_235_30_033_187507,0,16,2025_03,235,30,33,187.50656,187.55788,stacks,0.014216
2025_03_235_30_033_198924,0,17,2025_03,235,30,33,198.92416,198.978688,stacks,0.004736
2025_03_235_30_033_228670,0,18,2025_03,235,30,33,228.669952,228.694784,stacks,0.045568
2025_03_235_30_034_104466,0,19,2025_03,235,30,34,104.465536,104.493824,stacks,0.002176
2025_03_235_30_034_20516,0,20,2025_03,235,30,34,20.51584,20.5696,stacks,0.003328
2025_03_235_30_036_195008,0,21,2025_03,235,30,36,195.008384,195.053952,stacks,0.03584
2025_03_235_30_036_195365,0,22,2025_03,235,30,36,195.36512,195.396728,stacks,0.026632
2025_03_235_30_036_197722,0,23,2025_03,235,30,36,197.722112,197.763448,stacks,0.02356
2025_03_235_30_036_198094,0,24,2025_03,235,30,36,198.094464,198.12236,stacks,0.013576
2025_03_235_30_036_198415,0,25,2025_03,235,30,36,198.415104,198.476792,stacks,0.015752
2025_03_235_30_037_48626,0,26,2025_03,235,30,37,48.625536,48.668672,stacks,0.002176
2025_03_235_30_039_345136,0,27,2025_03,235,30,39,345.135744,345.1566,stacks,0.005896
2025_03_235_30_040_104397,0,28,2025_03,235,30,40,104.397312,104.42688,stacks,0.03136
2025_03_235_30_040_173357,0,29,2025_03,235,30,40,173.357056,173.423232,stacks,0.02368
2025_03_235_30_040_260261,1,1,2025_03,235,30,40,260.260736,260.310784,stacks,0.013696
2025_03_235_30_040_266212,1,2,2025_03,235,30,40,266.212096,266.261248,stacks,0.018048001
2025_03_235_30_040_26896,1,3,2025_03,235,30,40,26.895616,26.95948,stacks,0.006152
2025_03_235_30_040_277163,1,4,2025_03,235,30,40,277.163008,277.199872,stacks,0.049792
2025_03_235_30_040_277747,1,5,2025_03,235,30,40,277.74656,277.82336,stacks,0.00832
